symbol,month,horizon,model,control_seed,task_id,latency,original_rows,rows,threshold_bps,coverage,selected_rows,sign_selected_bps,top_decile_long_bps,bottom_decile_short_bps,ordered_deciles,decile_bins
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,0,916750,916645,1.0,8.182011574819041e-05,75,-6.953277906851772,-5.39260623802654,-5.703301799780533,0.0,10
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,1,916750,916645,1.0,8.182011574819041e-05,75,-8.313337950299063,-5.636069683613639,-5.931721383362487,0.0,10
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,5,916750,916645,1.0,8.182011574819041e-05,75,-9.629676200558329,-6.06185123946168,-6.287321751021264,0.0,10
KGHM,2017-09,10,xgboost,,3f3f4532e584b61b53ed602e857dfbc9643cad361ccbf76b7baaa627e299ebfa,0,916750,916645,1.0,0.022548532965324636,20669,-4.939045982942899,-5.924527236860064,-5.996222709549901,0.0,10
KGHM,2017-09,10,xgboost,,3f3f4532e584b61b53ed602e857dfbc9643cad361ccbf76b7baaa627e299ebfa,1,916750,916645,1.0,0.022548532965324636,20669,-5.818518179214429,-6.133744201328756,-6.2088300559853735,0.0,10
KGHM,2017-09,10,xgboost,,3f3f4532e584b61b53ed602e857dfbc9643cad361ccbf76b7baaa627e299ebfa,5,916750,916645,1.0,0.022548532965324636,20669,-6.344839475471608,-6.576199005299779,-6.592877387895966,0.0,10
KGHM,2017-09,20,linear,,c0ca667be1d9887ac6cc45a85208e17870efcfcbf0095b3ceac63bd72c3bc284,0,916540,916435,1.0,0.026125147991947057,23942,-4.064055188660306,-5.3540440052253615,-5.609842462728369,0.0,10
KGHM,2017-09,20,linear,,c0ca667be1d9887ac6cc45a85208e17870efcfcbf0095b3ceac63bd72c3bc284,1,916540,916435,1.0,0.026125147991947057,23942,-4.5086003048231476,-5.604656340689948,-5.838274645193325,0.0,10
KGHM,2017-09,20,linear,,c0ca667be1d9887ac6cc45a85208e17870efcfcbf0095b3ceac63bd72c3bc284,5,916540,916435,1.0,0.026125147991947057,23942,-5.203525640961659,-6.048018407109356,-6.217951225648374,0.0,10
KGHM,2017-09,20,xgboost,,ce49496f44708e983430194a8367d06258db95a3302a0fdcf09653acb17f11aa,0,916540,916435,1.0,0.07259325538636129,66527,-5.03063482708366,-5.821453186106161,-5.889124515802679,0.0,10
KGHM,2017-09,20,xgboost,,ce49496f44708e983430194a8367d06258db95a3302a0fdcf09653acb17f11aa,1,916540,916435,1.0,0.07259325538636129,66527,-5.466948845591987,-6.0406211537552625,-6.1068113021280634,0.0,10
KGHM,2017-09,20,xgboost,,ce49496f44708e983430194a8367d06258db95a3302a0fdcf09653acb17f11aa,5,916540,916435,1.0,0.07259325538636129,66527,-6.0345758923911665,-6.49132481943872,-6.51153075839772,0.0,10
KGHM,2017-09,50,linear,,32544ca32f84fa80c3cc3dccc341b4893608788603de895927362e972e74563c,0,915910,915805,1.0,0.2708687984887613,248063,-5.993809376158004,-5.5587353147443705,-5.630012695514314,0.0,10
KGHM,2017-09,50,linear,,32544ca32f84fa80c3cc3dccc341b4893608788603de895927362e972e74563c,1,915910,915805,1.0,0.2708687984887613,248063,-6.181338848246132,-5.797797656489042,-5.850846419759537,0.0,10
KGHM,2017-09,50,linear,,32544ca32f84fa80c3cc3dccc341b4893608788603de895927362e972e74563c,5,915910,915805,1.0,0.2708687984887613,248063,-6.544841587978538,-6.252054924378914,-6.249933221066853,0.0,10
KGHM,2017-09,50,xgboost,,83322b676721b319536a0a0a2dfdfe6ec37f6e959fd7efde748447d6808267b3,0,915910,915805,1.0,0.2643466676858065,242090,-6.274332561128967,-5.986724196315855,-6.065286800910697,0.0,10
KGHM,2017-09,50,xgboost,,83322b676721b319536a0a0a2dfdfe6ec37f6e959fd7efde748447d6808267b3,1,915910,915805,1.0,0.2643466676858065,242090,-6.44259842362416,-6.195538160014599,-6.272588516325334,0.0,10
KGHM,2017-09,50,xgboost,,83322b676721b319536a0a0a2dfdfe6ec37f6e959fd7efde748447d6808267b3,5,915910,915805,1.0,0.2643466676858065,242090,-6.81319386217273,-6.620673235626905,-6.66538593129115,0.0,10
KGHM,2017-11,10,linear,,b7acb68604d6c1fbeeb3a297b4bb5fb70b779bc658e000bef4ea06690f203a17,0,832503,832398,1.0,0.0001657860782942775,138,-7.13649750033432,-5.921379925994842,-6.070768985188942,0.0,10
KGHM,2017-11,10,linear,,b7acb68604d6c1fbeeb3a297b4bb5fb70b779bc658e000bef4ea06690f203a17,1,832503,832398,1.0,0.0001657860782942775,138,-8.080299127375426,-6.177468907159015,-6.31917119382539,0.0,10
KGHM,2017-11,10,linear,,b7acb68604d6c1fbeeb3a297b4bb5fb70b779bc658e000bef4ea06690f203a17,5,832503,832398,1.0,0.0001657860782942775,138,-7.9316151152490955,-6.588373124688073,-6.735642342682956,0.0,10
KGHM,2017-11,10,xgboost,,13c22b20d1cae287deb4cf586669cf29497c3da9e0e4e29ba4a1f5ed563afe73,0,832503,832398,1.0,0.024696118923880163,20557,-5.043275908875823,-5.981940423006798,-6.544976140266933,0.0,10
KGHM,2017-11,10,xgboost,,13c22b20d1cae287deb4cf586669cf29497c3da9e0e4e29ba4a1f5ed563afe73,1,832503,832398,1.0,0.024696118923880163,20557,-5.963453627402278,-6.249415413069093,-6.785938307902793,0.0,10
KGHM,2017-11,10,xgboost,,13c22b20d1cae287deb4cf586669cf29497c3da9e0e4e29ba4a1f5ed563afe73,5,832503,832398,1.0,0.024696118923880163,20557,-6.584023224006686,-6.6949073812492905,-7.221728775483977,0.0,10
KGHM,2017-11,20,linear,,dc0f76757a0405d8fed6ce9efdd95f978f9f24bb7c5863fff8cb884804db4b17,0,832293,832188,1.0,0.029666373463688493,24688,-4.2799296292217655,-5.834928096706989,-6.030063618224081,0.0,10
KGHM,2017-11,20,linear,,dc0f76757a0405d8fed6ce9efdd95f978f9f24bb7c5863fff8cb884804db4b17,1,832293,832188,1.0,0.029666373463688493,24688,-4.786946997606162,-6.09505213884941,-6.2787421069145175,0.0,10
KGHM,2017-11,20,linear,,dc0f76757a0405d8fed6ce9efdd95f978f9f24bb7c5863fff8cb884804db4b17,5,832293,832188,1.0,0.029666373463688493,24688,-5.512835141638427,-6.5143088947769465,-6.718473302276516,0.0,10
KGHM,2017-11,20,xgboost,,a41eb381001193e13dcc47d3676b6828b619768477e5039df789972bb1759ac1,0,832293,832188,1.0,0.08594932875744424,71526,-5.2765259021957585,-5.891250934501933,-6.490994671021277,0.0,10
KGHM,2017-11,20,xgboost,,a41eb381001193e13dcc47d3676b6828b619768477e5039df789972bb1759ac1,1,832293,832188,1.0,0.08594932875744424,71526,-5.72656022337832,-6.160317677143427,-6.7312421383950545,0.0,10
KGHM,2017-11,20,xgboost,,a41eb381001193e13dcc47d3676b6828b619768477e5039df789972bb1759ac1,5,832293,832188,1.0,0.08594932875744424,71526,-6.330953323405844,-6.602811368448223,-7.183648013658012,0.0,10
KGHM,2017-11,50,linear,,cc76ddb09f9c660d63c8c4d50d45b460ffaa407619dc5e4e9937f98b4edfe664,0,831663,831558,1.0,0.26010693180752276,216294,-6.446117067299685,-5.8902824905437425,-6.180189653458048,0.0,10
KGHM,2017-11,50,linear,,cc76ddb09f9c660d63c8c4d50d45b460ffaa407619dc5e4e9937f98b4edfe664,1,831663,831558,1.0,0.26010693180752276,216294,-6.658902128477639,-6.1491576095989355,-6.420342675782281,0.0,10
KGHM,2017-11,50,linear,,cc76ddb09f9c660d63c8c4d50d45b460ffaa407619dc5e4e9937f98b4edfe664,5,831663,831558,1.0,0.26010693180752276,216294,-7.050555821641117,-6.599002418863515,-6.856726636702785,0.0,10
KGHM,2017-11,50,xgboost,,b04b45c6a7cb4aa95878a213dffdb6956f4e793993d989b5745548f96dc74c62,0,831663,831558,1.0,0.2763222769788758,229778,-6.97317779350571,-6.060449364720366,-6.884246910918141,0.0,10
KGHM,2017-11,50,xgboost,,b04b45c6a7cb4aa95878a213dffdb6956f4e793993d989b5745548f96dc74c62,1,831663,831558,1.0,0.2763222769788758,229778,-7.159615753003618,-6.316628676789889,-7.1019582587108525,0.0,10
KGHM,2017-11,50,xgboost,,b04b45c6a7cb4aa95878a213dffdb6956f4e793993d989b5745548f96dc74c62,5,831663,831558,1.0,0.2763222769788758,229778,-7.520814784870379,-6.755849553288578,-7.525480061191864,0.0,10
